Request Number,Send Timestamp,Receive Timestamp,Duration (ms)
191,726.36226582,726.362288334,0.022514000079354446
192,726.362336476,726.362359475,0.022998999952505983
193,726.362412159,726.362437275,0.025116000074376643
194,726.36249011,726.36251348,0.023370000008071656
195,726.362568231,726.362593385,0.02515400001357193
196,726.362650802,726.362676738,0.025936000042747764
197,726.362732724,726.362759878,0.027154000008522416
198,726.362813336,726.362839543,0.02620699990529829
199,726.362893858,726.3629191,0.025241999992431374
200,726.362974915,726.3630265,0.0515850000510909
201,726.363083243,726.363110024,0.026780999974107544
202,726.363164581,726.363189535,0.024953999968602147
203,726.363244529,726.36326981,0.0252810000347381
204,726.363320581,726.363346718,0.02613699996345531
205,726.363399847,726.363425727,0.025880000066536013
206,726.363481577,726.363507028,0.025450999942222552
207,726.363563369,726.363589126,0.025757000003068242
208,726.363643589,726.36366889,0.025300999936916924
209,726.363725355,726.363752326,0.026971000011144497
210,726.36381175,726.363839194,0.027444000011200842
211,726.363892288,726.363918496,0.026208000008409726
212,726.363973883,726.364028509,0.05462600006467255
213,726.36408957,726.36411636,0.026789999992615776
214,726.364172364,726.364198691,0.026327000000492262
215,726.364253214,726.364281289,0.028075000045646448
216,726.364335811,726.364361442,0.025630999971326673
217,726.364416297,726.364442672,0.02637499994762038
218,726.364500083,726.364526824,0.02674099994237622
219,726.364580334,726.364606814,0.02647999997407169
220,726.364659417,726.364685206,0.025789000005715934
221,726.36474824,726.364774139,0.025898999979290238
222,726.364828195,726.364853332,0.025137000079666905
223,726.3649067,726.364931328,0.024628000005577633
224,726.364985662,726.365037577,0.05191499997181381
225,726.365094309,726.36512182,0.027510999984770024
226,726.365182562,726.365211245,0.028682999982265756
227,726.365262399,726.365287156,0.024757000005593
228,726.365338458,726.365365118,0.02666000000317581
229,726.365415019,726.365443174,0.02815499999542226
230,726.365496819,726.365521865,0.025046000018846826
231,726.365574332,726.365598949,0.024616999894533365
232,726.365651161,726.36567686,0.025699000048007292
233,726.365744627,726.365770086,0.025458999971306184
234,726.365825191,726.365849591,0.024400000029345392
235,726.365902118,726.365926792,0.024673999973856553
236,726.365983667,726.366035214,0.051546999998208776
237,726.3660956,726.366122009,0.02640900004280411
238,726.366176053,726.366201528,0.02547500002947345
239,726.366254495,726.36627972,0.02522499994483951
240,726.366332586,726.366357228,0.02464199997120886
241,726.366410801,726.366435446,0.02464499993948266
242,726.366489973,726.366514882,0.024909000103434664
243,726.366569518,726.366594284,0.02476600002410123
244,726.366647833,726.366673824,0.025991000029534916
245,726.366726635,726.366751613,0.024978000055853045
246,726.366804501,726.366828947,0.024445999997624313
247,726.366884085,726.366908877,0.02479199997651449
248,726.366961936,726.36698813,0.02619399992909166
249,726.36706975,726.36709625,0.02649999998993735
250,726.367150583,726.367175675,0.025091999987125746
251,726.367230929,726.367255933,0.025004000008266303
252,726.367310189,726.367335035,0.024845999973877042
253,726.367388441,726.367414739,0.02629799996611837
254,726.367467043,726.367492494,0.025450999942222552
255,726.36754636,726.367572907,0.02654699994764087
256,726.367629239,726.367654961,0.025721999918459915
257,726.367705283,726.367730232,0.02494900002147915
258,726.367788278,726.367813379,0.025101000005633978
259,726.367865821,726.36788973,0.023908999992272584
260,726.367941537,726.367965145,0.023607999992236728
261,726.368038687,726.368065365,0.026678000040192273
262,726.368119027,726.36814377,0.024742999926274933
263,726.368196881,726.368222009,0.025127999947471835
264,726.368274905,726.368300215,0.025309999955425155
265,726.368357061,726.368381632,0.024571000039941282
266,726.368435742,726.368460108,0.0243660000478485
267,726.368512832,726.368537328,0.024496000037288468
268,726.368591174,726.368616569,0.0253949999660108
269,726.368669132,726.368693827,0.024694999979146814
270,726.36874802,726.368772682,0.024661999987074523
271,726.368826781,726.36885305,0.026268999931744474
272,726.36890731,726.368932635,0.025324999910480983
273,726.368986332,726.369038903,0.052571000082934916
274,726.36909816,726.369124183,0.02602300003218261
275,726.369177507,726.369202197,0.024690000032023818
276,726.369257478,726.369281429,0.023951000002853107
277,726.36932919,726.369352558,0.02336799991553562
278,726.369403668,726.369428972,0.02530400001887756
279,726.369479296,726.369504872,0.02557599998453952
280,726.369552693,726.369575917,0.023224000074151263
281,726.369625893,726.369650572,0.02467899992097955
282,726.369701878,726.369727848,0.025970000024244655
283,726.369780585,726.369804628,0.024043000053097785
284,726.369857812,726.369881778,0.023966000071595772
285,726.369937433,726.369961379,0.023945999942043272
286,726.370046478,726.370074046,0.027568000064093212
287,726.370131011,726.370156357,0.025346000029458082
288,726.370212086,726.37024256,0.030473999913738226
289,726.370290901,726.370315554,0.02465299996856629
290,726.370369681,726.37039467,0.024988999939523637
291,726.370448453,726.370487669,0.039216000004671514
292,726.370540878,726.370565761,0.02488299992364773
293,726.370616866,726.370642453,0.025586999981896952
294,726.37069542,726.370724036,0.028616000008696574
295,726.370771105,726.370796024,0.024918999997680658
296,726.370850225,726.370875392,0.02516699998977856
297,726.370930658,726.370957856,0.027197999997952138
298,726.37103645,726.371064102,0.02765199997156742
299,726.37112356,726.371151326,0.02776600001652696
300,726.371212769,726.371238964,0.026195000032203097
301,726.371295358,726.371395442,0.10008399999605899
302,726.371470666,726.371498788,0.028122000003349967
303,726.371557537,726.371583308,0.02577100008238631
304,726.371639022,726.371663472,0.024450000069009548
305,726.371722123,726.371747851,0.02572799996869435
306,726.371804427,726.371828844,0.02441699996325042
307,726.371884707,726.371913462,0.028754999902957934
308,726.371971453,726.371998646,0.027192999937142304
309,726.372083765,726.372112287,0.028522000093289535
310,726.372325197,726.372361836,0.036638999972637976
311,726.372438323,726.3724669,0.02857699996638985
312,726.372521954,726.372548865,0.02691099996354751
313,726.372602913,726.372633453,0.030540000011569646
314,726.372684099,726.372710443,0.02634399993439729
315,726.372772581,726.372801002,0.028420999910849787
316,726.372861675,726.372889057,0.027381999984754657
317,726.372948279,726.37297667,0.02839100000073813
318,726.373064007,726.373094959,0.030951999974604405
319,726.373150534,726.373177356,0.026821999995263468
320,726.373235341,726.373262882,0.02754099989488168
321,726.373318751,726.373346146,0.027394999960961286
322,726.373404626,726.373432555,0.027928999998039217
323,726.373489945,726.373516692,0.026746999992610654
324,726.373573349,726.373603482,0.030132999995657883
325,726.373660566,726.373687663,0.027097000042886066
326,726.373744488,726.373770709,0.026220999984616356
327,726.373828459,726.373854748,0.026288999947610137
328,726.373909915,726.373936359,0.0264440000137256
329,726.373991283,726.374049749,0.058466000041335064
330,726.374110799,726.374139282,0.028482999937295972
331,726.374197358,726.374224333,0.026975000082529732
332,726.374280584,726.374309014,0.028430000043044856
333,726.374366061,726.374393433,0.027371999976821826
334,726.374450685,726.374477617,0.026931999968837772
335,726.374535608,726.37456201,0.026402000003145076
336,726.374619403,726.374646438,0.02703500001643988
337,726.374700859,726.37472793,0.02707099997678597
338,726.374783724,726.374810864,0.02713999992920435
339,726.374865176,726.374892004,0.026828000045497902
340,726.3749507,726.374980765,0.030065000032664102
341,726.375066625,726.375094659,0.028033999910803686
342,726.375150664,726.375176839,0.026175000016337435
343,726.375236719,726.375264565,0.02784599996630277
344,726.375320244,726.375347693,0.02744899995832384
345,726.375405859,726.375435843,0.029983999979776854
346,726.375492635,726.375519268,0.026632999947651115
347,726.375577425,726.37560457,0.027144999990014185
348,726.375660704,726.375692356,0.03165199996146839
349,726.37574985,726.375777742,0.02789199993458169
350,726.375835125,726.375861536,0.026411000021653308
351,726.375920822,726.375947692,0.026869999942391587
352,726.376029055,726.376057378,0.02832300003774435
353,726.376116838,726.376142707,0.025868999955491745
354,726.376196964,726.376223786,0.026821999995263468
355,726.376279279,726.376305767,0.02648800000315532
356,726.376362077,726.376411448,0.049371000045539404
357,726.37647136,726.376498055,0.0266949999740973
358,726.376554358,726.376579713,0.025354999934279476
359,726.376634008,726.376657258,0.02325000002656452
360,726.3767104,726.376739164,0.028764000035153003
361,726.376793626,726.376820521,0.026895000019067083
362,726.376875557,726.376902016,0.026459000082468265
363,726.376960132,726.376987086,0.026953999963552633
364,726.37707327,726.377103892,0.030622000053881493
365,726.377160858,726.377187883,0.02702500000850705
366,726.377243157,726.377269325,0.02616800009036524
367,726.377326566,726.377353114,0.026548000050752307
368,726.377409286,726.377434631,0.025345000040033483
369,726.3774894,726.377515184,0.025784000058592937
370,726.377571327,726.377596095,0.024767999889263592
371,726.37765304,726.377679543,0.02650299995821115
372,726.377734841,726.377759865,0.025024000024131965
373,726.377814887,726.377840243,0.025356000037390913
374,726.377896694,726.377923426,0.026732000037554826
375,726.377978622,726.378031462,0.05283999996663624
376,726.37808434,726.378111302,0.026961999992636265
377,726.37816418,726.37818944,0.025260000029447838
378,726.37823899,726.37826811,0.02912000002197601
379,726.378313865,726.378337209,0.023344000055658398
380,726.378387098,726.378411108,0.024010000061025494
381,726.378461895,726.378492712,0.030817000038041442
382,726.378541413,726.378565525,0.024112000005516165
383,726.37861953,726.378644276,0.02474600000823557
384,726.378695461,726.378721354,0.025893000042742642
385,726.378770841,726.378793613,0.022771999965698342
386,726.378844894,726.378867564,0.022669999907520832
387,726.378921909,726.378945163,0.02325399998426292
388,726.378996965,726.379045056,0.04809099993963173
389,726.379100441,726.379124203,0.023761999955240753
390,726.379173966,726.379202657,0.02869099989766255
391,726.37925135,726.379275616,0.02426599996852019
