Request Number,Send Timestamp,Receive Timestamp,Duration (ms)
259,974.266733377,974.375602185,108.86880800001109
260,974.381163702,974.493326197,112.16249500000686
261,974.498916304,974.618814074,119.89777000007962
262,974.624687345,974.740209843,115.52249800001846
263,974.746109042,974.861111516,115.00247400010721
264,974.866497111,974.976073442,109.57633100008479
265,974.983522752,975.097638282,114.11553000004915
266,975.103336577,975.21609458,112.75800299995353
267,975.223362246,975.396050157,172.68791100002545
268,975.403549471,975.601955594,198.406122999927
269,975.60703129,975.714988821,107.95753100001093
270,975.732414245,975.908541547,176.12730200005444
271,975.914754507,976.027231293,112.476786000002
272,976.034856387,976.146787368,111.93098100000043
273,976.152810299,976.266797207,113.98690800001532
274,976.274737764,976.419655883,144.91811900006724
275,976.42470711,976.625080256,200.37314600006084
276,976.633767164,976.829575403,195.80823900002997
277,976.837801347,976.956194611,118.39326400001937
278,976.962295662,977.080455426,118.15976399998362
279,977.086113466,977.196207926,110.09446000002754
280,977.203492987,977.31536224,111.86925300000894
281,977.322312582,977.444297327,121.98474499996337
282,977.451098088,977.652929898,201.83181000004424
283,977.662591919,977.779273617,116.6816979999794
284,977.785270729,977.903852541,118.58181200000217
285,977.908734755,978.014383614,105.64885900009813
286,978.019824849,978.130683628,110.85877900006835
287,978.139317761,978.256394109,117.07634799995503
288,978.263841508,978.373270673,109.42916499993771
289,978.380052289,978.571328583,191.2762939999766
290,978.576722144,978.775631494,198.9093500000081
291,978.786494961,978.980518597,194.02363599999717
292,978.988174685,979.098595894,110.42120900003738
293,979.104027522,979.213281895,109.25437299999885
294,979.22073162,979.38927818,168.54655999998158
295,979.394763054,979.506258942,111.49588800003585
296,979.512105317,979.626388006,114.28268899999239
297,979.633955709,979.749452312,115.49660299999687
298,979.756098662,979.869742725,113.64406300003793
299,979.874805288,979.988253073,113.44778500006214
300,979.992910812,980.118715201,125.80438899999535
301,980.123940989,980.242964361,119.02337200001512
302,980.248388451,980.386365067,137.97661600005995
303,980.39298425,980.516527129,123.54287899995597
304,980.521533228,980.635191501,113.65827300005549
305,980.63981147,980.761309998,121.49852799996097
306,980.769545429,980.889051545,119.50611600002503
307,980.895666236,981.013433302,117.76706599994213
308,981.02179794,981.232745096,210.9471559999747
309,981.238713846,981.441741286,203.02744000002804
310,981.448153854,981.568056832,119.90297800002736
311,981.572972335,981.745255735,172.28339999996933
312,981.751944314,981.863569691,111.62537699999575
313,981.869314768,981.976452666,107.13789800001905
314,981.983198776,982.092254331,109.05555500005448
315,982.098830761,982.257615824,158.78506299998207
316,982.264048888,982.377366945,113.31805699990127
317,982.38262478,982.496462729,113.83794899995792
318,982.50225838,982.624087653,121.82927300000301
319,982.632600643,982.743583235,110.9825919999139
320,982.752541915,982.869057871,116.5159559999438
321,982.875271941,982.982926808,107.65486699995108
322,982.989792518,983.103126208,113.33369000010407
323,983.108633465,983.28685457,178.2211049999205
324,983.291766462,983.486583547,194.8170849999542
325,983.493050755,983.598579349,105.52859400002035
326,983.6043825,983.792726418,188.34391799998684
327,983.798114164,984.002306952,204.1927880000003
328,984.008059136,984.124348148,116.2890119999247
329,984.132378673,984.246249333,113.87066000008872
330,984.252395479,984.40710784,154.71236099995167
331,984.413853439,984.520939263,107.08582399990973
332,984.527210548,984.640419655,113.20910699998876
333,984.646067164,984.817449232,171.38206799995714
334,984.823538382,985.021586469,198.04808699996101
335,985.026856193,985.131825063,104.96886999999333
336,985.13860886,985.246660826,108.05196600006184
337,985.253529628,985.364598084,111.06845599999815
338,985.371719846,985.482185458,110.4656119999845
339,985.487757963,985.636803348,149.0453849999085
340,985.644692059,985.765892154,121.20009499994921
341,985.774680244,985.943899154,169.21890999992684
342,985.962898684,986.071108139,108.20945499995105
343,986.081479462,986.1947514,113.27193800002533
344,986.203890226,986.357759954,153.86972800001786
345,986.364187755,986.486199523,122.01176799999303
346,986.49228335,986.610099095,117.81574500002989
347,986.61784396,986.80159687,183.75291000006655
348,986.808071685,986.934167713,126.0960280000063
349,986.941911746,987.069906417,127.99467100001038
350,987.076860878,987.274746887,197.88600899994435
351,987.281483193,987.387694493,106.21130000004086
352,987.392875351,987.582183335,189.30798399992455
353,987.593807826,987.698945774,105.13794799999232
354,987.704624767,987.819338749,114.71398200001204
355,987.824761099,987.996685721,171.92462199989222
356,988.003607704,988.107703921,104.09621700000571
357,988.115505894,988.232962665,117.4567709999792
358,988.239033777,988.355772713,116.73893599993335
359,988.363089431,988.503230229,140.1407979999476
360,988.509555495,988.707892103,198.33660799997688
361,988.71677725,988.827863034,111.08578400001079
362,988.834152488,988.954390571,120.23808300000383
363,988.962436525,989.122497649,160.06112399998074
364,989.12814629,989.304128148,175.9818580000001
365,989.308814911,989.422577901,113.76298999994106
366,989.42892185,989.539367725,110.44587499998215
367,989.545134016,989.662066612,116.93259599996964
368,989.668134566,989.776966358,108.83179199993265
369,989.784970774,989.901865072,116.89429799992013
370,989.907278032,990.015101153,107.823121000024
371,990.023358115,990.133235389,109.87727400004133
372,990.139249531,990.249640809,110.39127799995185
373,990.256901873,990.449639705,192.73783200003436
374,990.457051545,990.564566994,107.5154489999477
375,990.570137475,990.686238086,116.10061099997893
376,990.691907185,990.799766214,107.85902899999655
377,990.80624402,990.921822086,115.57806600001186
378,990.928608066,991.035539101,106.93103500000234
379,991.041813079,991.143708318,101.89523899998676
380,991.151289905,991.273652373,122.36246800000572
381,991.280920305,991.472865343,191.94503799997165
382,991.479384934,991.577365544,97.980610000036
383,991.584504641,991.780598412,196.09377100005076
384,991.788143115,991.887180605,99.03749000000062
385,991.900852053,992.088772771,187.92071799998666
386,992.093963711,992.230708733,136.7450220000137
387,992.237730902,992.347252949,109.52204700004131
388,992.355625963,992.467844502,112.21853900008227
389,992.473936713,992.570342123,96.40541000010217
390,992.577111697,992.696671054,119.55935700007103
391,992.703728766,992.81266035,108.93158399994718
392,992.818476635,992.932855773,114.37913800000388
393,992.938578214,993.041271788,102.6935739999999
394,993.04928234,993.213232569,163.95022899996547
395,993.221675187,993.342361837,120.68665000003875
396,993.348311351,993.451800711,103.48936000002595
397,993.458111125,993.626476626,168.36550100003933
398,993.632599844,993.738041252,105.44140800004698
399,993.744614818,993.857267969,112.65315100001771
400,993.862618984,994.038922857,176.303872999938
401,994.044735916,994.150984615,106.24869899993428
402,994.156678042,994.249304341,92.62629900001684
403,994.25558591,994.36326885,107.68294000001788
404,994.369835291,994.46951486,99.67956900004538
405,994.475505217,994.571759308,96.2540909999916
406,994.577953559,994.719078356,141.12479699997493
407,994.726510711,994.831526655,105.01594400000158
408,994.836556596,995.056984353,220.4277569999249
409,995.063744518,995.169458554,105.71403599999485
410,995.176132929,995.287770859,111.63793000002897
411,995.292258433,995.39292889,100.67045699997834
412,995.398162454,995.497576794,99.41433999995297
413,995.503470332,995.637808731,134.33839899994382
414,995.644531248,995.742434401,97.90315299994745
415,995.748257352,995.853373646,105.11629400002676
416,995.861776953,996.081222288,219.44533500004582
417,996.088152435,996.192565146,104.41271100000904
418,996.200252528,996.299430493,99.1779650000808
419,996.305090976,996.491232311,186.14133500000207
420,996.496549073,996.698820716,202.27164300001732
421,996.70494044,996.901172026,196.23158600006718
422,996.911098943,997.019857691,108.75874800001384
423,997.026041812,997.12672723,100.68541800001185
424,997.132178495,997.241292817,109.11432200009585
425,997.247253677,997.351714303,104.46062599999095
426,997.358413946,997.454318049,95.90410299995256
427,997.460979274,997.559431565,98.45229099994413
428,997.566191175,997.719723379,153.53220400004375
429,997.725530458,997.835160445,109.6299870000621
430,997.840618785,997.948576792,107.95800700009295
431,997.954281934,998.064426494,110.14455999998063
432,998.070837302,998.174162485,103.32518300003812
433,998.179480001,998.302741295,123.26129400003083
434,998.308979027,998.407458782,98.47975500008488
435,998.413325692,998.509072496,95.74680400010038
436,998.514921151,998.612674664,97.75351300004331
437,998.620904917,998.712839511,91.93459400000847
438,998.720025323,998.814096721,94.07139800009645
439,998.820229451,998.918829408,98.59995699991941
440,998.924607163,999.054206686,129.59952300002442
441,999.061803536,999.186380514,124.57697800005008
442,999.195094641,999.319721121,124.62648000007448
443,999.326149204,999.461390164,135.24096000003283
444,999.467101653,999.591712941,124.61128799998278
445,999.599133879,999.767312904,168.17902500008586
446,999.775456362,999.869910763,94.45440100000724
447,999.875157088,999.972931353,97.7742649999982
448,999.985738493,1000.179284204,193.5457110000698
449,1000.185928936,1000.295126032,109.1970960000026
450,1000.301489628,1000.410253602,108.7639739999986
451,1000.416283592,1000.527620515,111.33692299995346
452,1000.538979062,1000.647824594,108.84553200003211
453,1000.654890419,1000.757400865,102.51044599999659
454,1000.764175222,1000.867268337,103.09311500009244
455,1000.874699547,1000.984264432,109.56488500005435
456,1000.991254502,1001.091479762,100.22526000000198
457,1001.09844185,1001.199231346,100.78949600006126
458,1001.205115788,1001.314266597,109.15080900008434
459,1001.320990782,1001.423628652,102.63787000008051
460,1001.429946434,1001.530291291,100.34485699998186
461,1001.536757178,1001.640205129,103.44795100002102
462,1001.651073302,1001.752323605,101.25030300002891
463,1001.757382063,1001.918318998,160.93693499999517
464,1001.925049458,1002.031582692,106.53323400003956
465,1002.036806925,1002.148640271,111.83334600002581
466,1002.153944672,1002.337261073,183.31640100007007
467,1002.346173535,1002.449533123,103.35958799998934
468,1002.456969693,1002.56596555,108.99585699996805
469,1002.57085898,1002.679318522,108.45954199999142
470,1002.684568467,1002.83984697,155.2785030000905
471,1002.84571712,1002.944496663,98.77954299997782
472,1002.950545379,1003.049452932,98.90755300000365
473,1003.056051538,1003.15680825,100.75671200002034
474,1003.162296862,1003.261194752,98.89789000010296
475,1003.266282876,1003.386810037,120.5271610000409
476,1003.392831288,1003.496644573,103.81328500000109
